String,Notes,Character Limit,Arabic,Bulgarian,Chinese (Simplified),Chinese (Traditional),Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Norwegian,Polish,Portuguese,Romanian,Russian,Slovak,Slovenian,Spanish,Standard (Bahasa) Malay,Swedish,Thai,Turkish,Ukrainian,Vietnamese
Translator,[optional] for the credits section on GitHub,within reason,,,,,notefolio,,,,pyrob2142,,,Google Translate (please correct),pyrob2142,,,,,,,,,,,,,,,,,Google Translate (please correct),,Google Translate (please correct),,,,
AppName,,within reason,,,,,Widget za post,,,,Fasting Widget,,,Widget du jeûne,Fasten Widget,,,,,,,,,,,,,,,,,Widget de ayuno,,Fastande widget,,,,
longpress_threshold_title,,within reason,,,,,Prag dugog pritiska (ms),,,,Long Press Threshold (ms),,,Seuil de pression long,Langer Druck ab (ms),,,,,,,,,,,,,,,,,Umbral de presión largo (ms),,Lång pressgräns,,,,
default_page_goal_title,,within reason,,,,,Početna stranica (s ciljem),,,,Initial Page (with goal),,,Page initiale (avec objectif),Startseite (mit Ziel),,,,,,,,,,,,,,,,,Página inicial (con objetivo),,Startsida (med mål),,,,
default_page_no_goal_title,,within reason,,,,,Početna stranica (bez cilja),,,,Initial Page (without goal),,,Page initiale (sans objectif),Startseite (ohne Ziel),,,,,,,,,,,,,,,,,Página inicial (sin objetivo),,Startsida (utan mål),,,,
page_streak,,within reason,,,,,Red,,,,Streak,,,Séquence,Serie,,,,,,,,,,,,,,,,,Racha,,Strimmig,,,,
page_elapsed,,within reason,,,,,Proteklo vrijeme,,,,Elapsed Time,,,Temps écoulé,Vergangene Zeit,,,,,,,,,,,,,,,,,Tiempo transcurrido,,Passerad tid,,,,
page_remaining,,within reason,,,,,Preostalo vrijeme,,,,Remaining Time,,,Temps restant,Verbleibende Zeit,,,,,,,,,,,,,,,,,Tiempo restante,,Återstående tid,,,,
page_calories,,within reason,,,,,Kalorije,,,,Calories,,,Calories,Kalorien,,,,,,,,,,,,,,,,,Calorías,,kalorier,,,,
default_goal_title,,within reason,,,,,Zadani cilj,,,,Default Goal,,,Objectif par défaut,Zielvorauswahl,,,,,,,,,,,,,,,,,Objetivo predeterminado,,Standardmål,,,,
hours,Plural,12,,,,,Sati,,,,Hours,,,Heures,Stunden,,,,,,,,,,,,,,,,,Horario,,Timmar,,,,
days,Plural,12,,,,,Dani,,,,Days,,,Journées,Tage,,,,,,,,,,,,,,,,,Días,,Dagar,,,,
week_SG,"Singular form of ""week""",12,,,,,Tjedan,,,,Week,,,Semaine,Woche,,,,,,,,,,,,,,,,,Semana,,Vecka,,,,
weeks_PL,"Plural form of ""week""",12,,,,,Tjedni,,,,Weeks,,,Semaines,Wochen,,,,,,,,,,,,,,,,,Semanas,,Veckor,,,,
activity_level_title,,within reason,,,,,Razina aktivnosti,,,,Activity Level,,,Niveau d'activité,Aktivität,,,,,,,,,,,,,,,,,Nivel de actividad,,Aktivitetsnivå,,,,
activity_level_0,,within reason,,,,,Sjedeći (malo bez vježbanja),,,,Sedentary (little to no exercise),,,Sédentaire (peu ou pas d'exercice),Sitzend (wenig bis keine Bewegung),,,,,,,,,,,,,,,,,Sedentaria (poco o nada de ejercicio),,Stillasittande (lite till ingen träning),,,,
activity_level_1,,within reason,,,,,Lagano aktivan (lagana vježba 1-3 dana u tjednu),,,,Lightly Active (light exercise 1-3 days per week),,,Légèrement actif (exercice léger 1 à 3 jours par semaine),Leicht aktiv (leichte Belastung 1-3 Tage pro Woche),,,,,,,,,,,,,,,,,Ligeramente activo (ejercicio ligero 1-3 días por semana),,Lätt aktiv (lätt träning 1-3 dagar per vecka),,,,
activity_level_2,,within reason,,,,,Umjereno aktivan (umjereno vježbanje 3-5 dana tjedno),,,,Moderately Active (moderate exercise 3-5 days per week),,,Modérément actif (exercice modéré 3 à 5 jours par semaine),Durchschnittlich aktiv (mittlere Belastung 3-5 Tage pro Woche),,,,,,,,,,,,,,,,,Moderadamente activo (ejercicio moderado de 3 a 5 días por semana),,Måttlig aktiv (måttlig träning 3-5 dagar per vecka),,,,
activity_level_3,,within reason,,,,,Vrlo aktivan (naporna vježba 6-7 dana u tjednu),,,,Very Active (hard exercise 6-7 days per week),,,Très actif (exercice physique intensif 6-7 jours par semaine),Sehr aktiv (harte Belastung 6-7 Tage pro Woche),,,,,,,,,,,,,,,,,Muy activo (ejercicio duro 6-7 días por semana),,Mycket aktiv (hård träning 6-7 dagar per vecka),,,,
activity_level_4,,within reason,,,,,Posebno aktivan (vrlo naporan / sportski ili fizički rad),,,,Extra Active (very hard exercise/training or a physical job),,,Particulièrement actif (exercice/entraînement très dur ou un travail physique),Besonders aktiv (sehr harte Belastung/Sport oder eine körperliche Arbeit),,,,,,,,,,,,,,,,,Particularmente activo (ejercicio/entrenamiento muy duro o un trabajo físico),,Särskilt aktivt (mycket hårt arbete / sport eller fysiskt arbete),,,,
birthday_title,"""Date of birth""",within reason,,,,,Datum rođenja,,,,Date of Birth,,,Date de naissance,Geburtsdatum,,,,,,,,,,,,,,,,,Fecha de nacimiento,,Födelsedatum,,,,
bmr_formula_title,,within reason,,,,,BMR izračun na temelju,,,,BMR calculation based on,,,BMR calcul basé sur,BMR-Berechnung basierend auf,,,,,,,,,,,,,,,,,BMR cálculo basado en,,BMR beräkning baserad på,,,,
bmr_mifflin,,within reason,,,,,Mifflin-St Jeor jednadžba,,,,Mifflin-St Jeor Equation,,,Mifflin-St Jeor équation,Mifflin-St Jeor Formel,,,,,,,,,,,,,,,,,Mifflin-St Jeor ecuación,,Mifflin-St Jeor ekvation,,,,
bmr_harris,,within reason,,,,,Prerađen Harris-Benedict jednadžba,,,,Revised Harris-Benedict Equation,,,Modifié Harris-Benedict équation,Überarbeitete Harris-Benedict Formel,,,,,,,,,,,,,,,,,Revisado Harris-Benedict ecuación,,Reviderad Harris-Benedict ekvation,,,,
bmr_katch,,within reason,,,,,Katch-McArdle formula (zahtijeva postotak tjelesne masnoće),,,,Katch-McArdle Formula (requires body fat percentage),,,Katch-McArdle formule (nécessite un pourcentage de graisse corporelle),Katch-McArdle Formel (benötigt Körperfettanteil in Prozent),,,,,,,,,,,,,,,,,Katch-McArdle fórmula (requiere porcentaje de grasa corporal),,Katch-McArdle formel (kräver kroppsfettprocent),,,,
body_fat_title,,within reason,,,,,Tjelesna masnoća (%),,,,Body fat (%),,,Graisse corporelle (%),Körperfettanteil (%),,,,,,,,,,,,,,,,,Grasa corporal (%),,Kroppsfett (%),,,,
streak_reset_threshold_title,,within reason,,,,,Poništi red ispod (% završetka),,,,Reset streak below (percent of completion),,,Réinitialiser la séquence ci-dessous (% d'achèvement),Serie zurücksetzen unter (% Fortschritt),,,,,,,,,,,,,,,,,Restablecer racha a continuación (% de finalización),,Öka strimmig över (% av slutförande),,,,
streak_inc_threshold_title,,within reason,,,,,Povećajte red iznad (% završetka),,,,Increase streak above (percent of completion),,,Augmenter la séquence au-dessus (% d'achèvement),Serie erhöhen (% Fortschritt),,,,,,,,,,,,,,,,,Aumentar la racha arriba (% de finalización),,Återställ strimmig under (% av slutförande),,,,
streak_title,,within reason,,,,,Prepiši red,,,,Overwrite Streak,,,Écraser la ligne,Serie überschreiben,,,,,,,,,,,,,,,,,Racha de sobrescritura,,skriv över streck,,,,
overwrite_date_format_title,,within reason,,,,,Prepisati format datuma,,,,Overwrite date format,,,,Datumsformat überschreiben,,,,,,,,,,,,,,,,,,,,,,,
time_format_title,,within reason,,,,,Vremenski format,,,,Time format,,,,Zeitdarstellung,,,,,,,,,,,,,,,,,,,,,,,
show_days_title,,within reason,,,,,Prijeđite na dane nakon (sati),,,,Switch to days after (hours),,,,Anzeige in Tagen nach (Stunden),,,,,,,,,,,,,,,,,,,,,,,
summary,,13,,,,,Sažetak,,,,Summary,,,Résumé,Überblick,,,,,,,,,,,,,,,,,Resumen,,Översikt,,,,
duration,,17,,,,,Trajanje,,,,Duration,,,Durée,Zeit,,,,,,,,,,,,,,,,,Tiempo,,Tid,,,,
calories,,17,,,,,Kalorije,,,,Calories,,,Calories,Kalorien,,,,,,,,,,,,,,,,,Calorías,,Kalorier,,,,
streak,,13,,,,,Red,,,,Streak,,,Séquence,Serie,,,,,,,,,,,,,,,,,Racha,,Strimmig,,,,
fast_sg,"Singular form of ""fast""",13,,,,,Post,,,,Fast,,,Jeûne,Fasten,,,,,,,,,,,,,,,,,Ayuno,,Fasta,,,,
fast_pl,"Plural form of ""fast""",13,,,,,Postovi,,,,Fasts,,,Jeûnes,Fasten,,,,,,,,,,,,,,,,,Ayunos,,Fastorna,,,,
nominalization (y/n),"""Fast"" is a nominalized verb? y / n (e.g. German ""das Fasten"")",1,,,,,n,,,,n,,,n,y,,,,,,,,,,,,,,,,,n,,n,,,,
elapsed,,13,,,,,Proteklo,,,,Elapsed,,,Ecoulé,Vergangen,,,,,,,,,,,,,,,,,Elapsado,,Förfluten,,,,
remaining,,13,,,,,Ostalo,,,,Remaining,,,Reste,Verbleibend,,,,,,,,,,,,,,,,,Lo que queda,,Återstående,,,,
since,,19,,,,,Od,,,,Since,,,Depuis,seit,,,,,,,,,,,,,,,,,Desde,,Eftersom,,,,
until,,19,,,,,Do,,,,Until,,,Jusqu'à,bis,,,,,,,,,,,,,,,,,Hasta,,Fram tills,,,,
kcal,,11,,,,,kcal,,,,kcal,,,kcal,kcal,,,,,,,,,,,,,,,,,kcal,,kcal,,,,
overtime,,13,,,,,Prekovremeno,,,,Overtime,,,Heures suppl.,Überzeit,,,,,,,,,,,,,,,,,Horas extras,,Övertid,,,,
fast_type_menu_title,,19,,,,,Novi post,,,,New Fast,,,Nouveau jeûne,Neues Fasten,,,,,,,,,,,,,,,,,Nuevo ayuno,,Ny fasta,,,,
fast_set_goal,,14,,,,,Postavite cilj,,,,Set Goal,,,Fixer un objectif,Ziel setzen,,,,,,,,,,,,,,,,,Fijar la objetivo,,Sätta mål,,,,
fast_no_goal,,14,,,,,Nema cilja,,,,No Goal,,,Pas d'objectif,Kein Ziel,,,,,,,,,,,,,,,,,No objetivo,,Inget mål,,,,
end_fast_title,,19,,,,,Prestati post?,,,,End Fast?,,,Arrêter le jeûne?,Fasten beenden?,,,,,,,,,,,,,,,,,¿Dejar de ayunar?,,Sluta fasta?,,,,
cancel_fast_title,,19,,,,,Prekinuti post?,,,,Cancel Fast?,,,Annuler le jeûne?,Fasten abbrechen?,,,,,,,,,,,,,,,,,¿Cancelar el ayuno?,,Avbryta fasta?,,,,
goal_menu_title,,19,,,,,Cilj,,,,Goal,,,Objectif,Ziel,,,,,,,,,,,,,,,,,Objetivo,,Mål,,,,
yes,,14,,,,,Da,,,,Yes,,,Oui,Ja,,,,,,,,,,,,,,,,,Sí,,Ja,,,,
no,,14,,,,,Ne,,,,No,,,Non,Nein,,,,,,,,,,,,,,,,,No,,Nej,,,,
d (first character of day),,1,,,,,D,,,,D,,,J,T,,,,,,,,,,,,,,,,,D,,D,,,,
h (local abbrev. for hour),,1,,,,,H,,,,H,,,H,H,,,,,,,,,,,,,,,,,H,,H,,,,
min (local abbrev. for minute),,3,,,,,MIN,,,,MIN,,,MIN,MIN,,,,,,,,,,,,,,,,,MIN,,MIN,,,,
s (local abbrev. for second),,1,,,,,S,,,,S,,,S,S,,,,,,,,,,,,,,,,,S,,S,,,,
default_date_format,"Your local date format. eg ""dd.mm.yy"", ""mm/dd/yy""",8,,,,,dd.mm.yy,,,,mm/dd/yy,,,,dd.mm.yy,,,,,,,,,,,,,,,,,,,,,,,
